code,town
11010,今市町
11021,今市町北本町１丁目
11024,今市町北本町４丁目
11025,今市町北本町５丁目
11040,今市町南本町
11083,駅南町３丁目
12010,大津町
12022,大津新崎町２丁目
12023,大津新崎町３丁目
12025,大津新崎町５丁目
12031,大津朝倉１丁目
12032,大津朝倉２丁目
12040,枝大津町
13010,上塩冶町
13011,築山新町
13020,塩冶町
13030,天神町
13041,塩冶有原町１丁目
13043,塩冶有原町３丁目
13046,塩冶有原町６丁目
13062,塩冶神前２丁目
13063,塩冶神前３丁目
13064,塩冶神前４丁目
13065,塩冶神前５丁目
13066,塩冶神前６丁目
13082,塩冶町南町２丁目
13084,塩冶町南町４丁目
13101,医大南町１丁目
13102,医大南町２丁目
13103,医大南町３丁目
13121,塩冶原町１丁目
13122,塩冶原町２丁目
13123,塩冶原町３丁目
14010,古志町
15010,高松町
15020,白枝町
15030,松寄下町
15040,浜町
15050,下横町
16010,矢野町
16020,小山町
16030,大塚町
16040,姫原町
16041,姫原１丁目
16042,姫原２丁目
16043,姫原３丁目
16050,渡橋町
17010,矢尾町
17020,日下町
17030,里方町
17040,平野町
17050,常松町
17060,江田町
17070,八島町
18010,中野町
18020,武志町
18030,荻杼町
18040,稲岡町
18050,高岡町
18061,中野美保北１丁目
18062,中野美保北２丁目
18063,中野美保北３丁目
18071,中野美保南１丁目
18073,中野美保南３丁目
19010,西林木町
19020,東林木町
20010,西谷町
20020,上島町
20030,船津町
21010,野尻町
21020,■原町
21030,宇那手町
22010,馬木町
22020,朝山町
22030,所原町
22040,見々久町
22050,馬木北町
23010,乙立町
24010,■渡町
24020,下古志町
24030,知井宮町
24040,神門町
24051,西新町１丁目
24052,西新町２丁目
24053,西新町３丁目
25010,西神西町
25020,東神西町
25030,神西沖町
25040,大島町
25050,神西新町
26010,荒茅町
26020,東園町
26030,西園町
26040,外園町
30010,平田町
30020,西平田町
30100,■分町
30110,島村町
30120,出島町
30200,美談町
30210,西代町
30220,国富町
30230,口宇賀町
30300,西郷町
30310,本庄町
30320,万田町
30330,奥宇賀町
30400,河下町
30410,唐川町
30420,別所町
30430,猪目町
30450,東郷町
30460,東福町
30470,久多見町
30480,野石谷町
30490,上岡田町
30550,岡田町
30560,多久谷町
30570,多久町
30650,園町
30660,鹿園寺町
30670,小境町
30750,小津町
30760,十六島町
30770,釜浦町
30780,塩津町
30790,美保町
30850,三津町
30860,小伊津町
30870,坂浦町
30950,地合町
30960,野郷町
30970,美野町
40100,佐田町朝原
40250,佐田町須佐
40300,佐田町原田
40400,佐田町大呂
40500,佐田町反邊
40600,佐田町吉野
40700,佐田町一窪田
40800,佐田町毛津
40900,佐田町佐津目
41000,佐田町高津屋
41100,佐田町下橋波
41200,佐田町上橋波
41300,佐田町東村
41400,佐田町八幡原
50001,多伎町神原
50002,多伎町奥田儀
50003,多伎町口田儀
50004,多伎町小田
50005,多伎町多岐
50006,多伎町久村
60100,湖陵町畑村
60200,湖陵町常楽寺
60300,湖陵町三部
60400,湖陵町二部
60500,湖陵町大池
60600,湖陵町板津
60700,湖陵町差海
71100,大社町遙堪
71200,大社町菱根
71300,大社町入南
72100,大社町中荒木
72200,大社町北荒木
72300,大社町修理免
73100,大社町杵築東
73200,大社町杵築南
73300,大社町杵築西
73400,大社町杵築北
74100,大社町日御碕
74200,大社町宇龍
75100,大社町鷺浦
75200,大社町鵜峠
80011,斐川町学頭
80012,斐川町荘原
80013,斐川町神庭
80014,斐川町三絡
80015,斐川町上庄原
80021,斐川町阿宮
80022,斐川町出西
80023,斐川町神氷
80024,斐川町求院
80025,斐川町併川
80031,斐川町富村
80032,斐川町名島
80033,斐川町鳥井
80034,斐川町上直江
80041,斐川町直江
80051,斐川町美南
80052,斐川町福富
80053,斐川町原鹿
80054,斐川町今在家
80061,斐川町沖洲
80062,斐川町中洲
80063,斐川町黒目
80064,斐川町三分市
80065,斐川町坂田}
